analysis_view,conference,analysis_stratum,n,phrase,count,document_count,document_share,per_10000_all_words
combined_400,ICLR,all,2,rgb image,7,2,0.111111,0.772141
combined_400,ICLR,all,2,achieves state-of-the-art,7,3,0.166667,0.772141
combined_400,ICLR,all,2,luces benchmark,7,1,0.055556,0.772141
combined_400,ICLR,all,2,benchmark dataset,7,1,0.055556,0.772141
combined_400,ICLR,all,2,dataset mecca,7,1,0.055556,0.772141
combined_400,ICLR,all,2,generalizable spatial,7,1,0.055556,0.772141
combined_400,ICLR,all,2,geometric priors,7,1,0.055556,0.772141
combined_400,ICLR,all,2,geometric ambiguity,7,1,0.055556,0.772141
combined_400,ICLR,all,2,spatially-grounded tasks,7,1,0.055556,0.772141
combined_400,ICLR,all,2,automatic theorem,7,1,0.055556,0.772141
combined_400,ICLR,all,2,proof assistant,7,1,0.055556,0.772141
combined_400,ICLR,all,2,premise selectors,7,1,0.055556,0.772141
combined_400,ICLR,all,2,premises used,7,1,0.055556,0.772141
combined_400,ICLR,all,2,new premises,7,1,0.055556,0.772141
combined_400,ICLR,all,2,set premises,7,1,0.055556,0.772141
combined_400,ICLR,all,2,aesop auto,7,1,0.055556,0.772141
combined_400,ICLR,all,2,current flow,7,1,0.055556,0.772141
combined_400,ICLR,all,2,sea-raft wang,7,1,0.055556,0.772141
combined_400,ICLR,all,2,ranjan black,7,1,0.055556,0.772141
combined_400,ICLR,all,2,kitti geiger,7,1,0.055556,0.772141
combined_400,ICLR,all,2,res dpt-s,7,1,0.055556,0.772141
combined_400,ICLR,all,2,get lost,7,1,0.055556,0.772141
combined_400,ICLR,all,2,sharded instruction,7,1,0.055556,0.772141
combined_400,ICLR,all,2,upper bounds,7,1,0.055556,0.772141
combined_400,ICLR,all,2,fixed precision,7,1,0.055556,0.772141
combined_400,ICLR,all,2,doubly exponential,7,1,0.055556,0.772141
combined_400,ICLR,all,2,b-rasp programs,7,1,0.055556,0.772141
combined_400,ICLR,all,2,found app,7,1,0.055556,0.772141
combined_400,ICLR,all,2,object motion,6,1,0.055556,0.661835
combined_400,ICLR,all,2,effective method,6,4,0.222222,0.661835
combined_400,ICLR,all,2,illustrated figure,6,4,0.222222,0.661835
combined_400,ICLR,all,2,generated videos,6,1,0.055556,0.661835
combined_400,ICLR,all,2,evaluation metrics,6,3,0.166667,0.661835
combined_400,ICLR,all,2,physics-enhanced prompt,6,1,0.055556,0.661835
combined_400,ICLR,all,2,basic standards,6,1,0.055556,0.661835
combined_400,ICLR,all,2,figure illustration,6,5,0.277778,0.661835
combined_400,ICLR,all,2,including gpt-,6,2,0.111111,0.661835
combined_400,ICLR,all,2,video generative,6,2,0.111111,0.661835
combined_400,ICLR,all,2,corresponding author,6,6,0.333333,0.661835
combined_400,ICLR,all,2,consistently outperforms,6,6,0.333333,0.661835
combined_400,ICLR,all,2,temperature values,6,1,0.055556,0.661835
combined_400,ICLR,all,2,model sizes,6,5,0.277778,0.661835
combined_400,ICLR,all,2,high accuracy,6,5,0.277778,0.661835
combined_400,ICLR,all,2,synthetic data,6,4,0.222222,0.661835
combined_400,ICLR,all,2,nyi entropy,6,1,0.055556,0.661835
combined_400,ICLR,all,2,across datasets,6,4,0.222222,0.661835
combined_400,ICLR,all,2,kernel methods,6,1,0.055556,0.661835
combined_400,ICLR,all,2,kernels defined,6,1,0.055556,0.661835
combined_400,ICLR,all,2,rkhs kernels,6,1,0.055556,0.661835
combined_400,ICLR,all,2,closed form,6,1,0.055556,0.661835
combined_400,ICLR,all,2,support window,6,1,0.055556,0.661835
combined_400,ICLR,all,2,neural network,6,4,0.222222,0.661835
combined_400,ICLR,all,2,defined follows,6,2,0.111111,0.661835
combined_400,ICLR,all,2,mutually-exciting scenario,6,1,0.055556,0.661835
combined_400,ICLR,all,2,distributed framework,6,1,0.055556,0.661835
combined_400,ICLR,all,2,memory consumption,6,2,0.111111,0.661835
combined_400,ICLR,all,2,image size,6,2,0.111111,0.661835
combined_400,ICLR,all,2,multiple gpus,6,1,0.055556,0.661835
combined_400,ICLR,all,2,bridge gap,6,5,0.277778,0.661835
combined_400,ICLR,all,2,diverse domains,6,4,0.222222,0.661835
combined_400,ICLR,all,2,joint distribution,6,2,0.111111,0.661835
combined_400,ICLR,all,2,ring sampler,6,1,0.055556,0.661835
combined_400,ICLR,all,2,arbitrarily large,6,1,0.055556,0.661835
combined_400,ICLR,all,2,illustrated fig,6,4,0.222222,0.661835
combined_400,ICLR,all,2,fig shows,6,3,0.166667,0.661835
combined_400,ICLR,all,2,microsoft research,6,3,0.166667,0.661835
combined_400,ICLR,all,2,token budget,6,2,0.111111,0.661835
combined_400,ICLR,all,2,structure labels,6,1,0.055556,0.661835
combined_400,ICLR,all,2,textual features,6,1,0.055556,0.661835
combined_400,ICLR,all,2,huang wang,6,2,0.111111,0.661835
combined_400,ICLR,all,2,prompting prompt,6,1,0.055556,0.661835
combined_400,ICLR,all,2,token limit,6,1,0.055556,0.661835
combined_400,ICLR,all,2,value boundaries,6,1,0.055556,0.661835
combined_400,ICLR,all,2,diverse llms,6,1,0.055556,0.661835
combined_400,ICLR,all,2,gpt- turbo,6,1,0.055556,0.661835
combined_400,ICLR,all,2,synthetic dataset,6,3,0.166667,0.661835
combined_400,ICLR,all,2,ach hed,6,1,0.055556,0.661835
combined_400,ICLR,all,2,pow sti,6,1,0.055556,0.661835
combined_400,ICLR,all,2,sec sel,6,1,0.055556,0.661835
combined_400,ICLR,all,2,con uni,6,1,0.055556,0.661835
combined_400,ICLR,all,2,tra ben,6,1,0.055556,0.661835
combined_400,ICLR,all,2,comprehensive analysis,6,2,0.111111,0.661835
combined_400,ICLR,all,2,natural distribution,6,1,0.055556,0.661835
combined_400,ICLR,all,2,harmless divergences,6,1,0.055556,0.661835
combined_400,ICLR,all,2,behavioral null-space,6,1,0.055556,0.661835
combined_400,ICLR,all,2,boundless das,6,1,0.055556,0.661835
combined_400,ICLR,all,2,methods often,6,3,0.166667,0.661835
combined_400,ICLR,all,2,software engineering,6,1,0.055556,0.661835
combined_400,ICLR,all,2,web navigation,6,2,0.111111,0.661835
combined_400,ICLR,all,2,training agents,6,2,0.111111,0.661835
combined_400,ICLR,all,2,web browsing,6,1,0.055556,0.661835
combined_400,ICLR,all,2,raw adp,6,1,0.055556,0.661835
combined_400,ICLR,all,2,webarena zhou,6,2,0.111111,0.661835
combined_400,ICLR,all,2,b-coder-instruct wang,6,1,0.055556,0.661835
combined_400,ICLR,all,2,llama- chat-,6,1,0.055556,0.661835
combined_400,ICLR,all,2,claude sonnet,6,2,0.111111,0.661835
combined_400,ICLR,all,2,decision-making tasks,6,1,0.055556,0.661835
combined_400,ICLR,all,2,task ids,6,2,0.111111,0.661835
combined_400,ICLR,all,2,increasing number,6,3,0.166667,0.661835
combined_400,ICLR,all,2,local modes,6,1,0.055556,0.661835
combined_400,ICLR,all,2,plan distribution,6,1,0.055556,0.661835
combined_400,ICLR,all,2,start goal,6,1,0.055556,0.661835
combined_400,ICLR,all,2,local feasibility,6,1,0.055556,0.661835
combined_400,ICLR,all,2,task task,6,1,0.055556,0.661835
combined_400,ICLR,all,2,generation tasks,6,2,0.111111,0.661835
combined_400,ICLR,all,2,quantitative comparison,6,2,0.111111,0.661835
combined_400,ICLR,all,2,first time,6,3,0.166667,0.661835
combined_400,ICLR,all,2,outdoor scenes,6,1,0.055556,0.661835
combined_400,ICLR,all,2,patching strategies,6,1,0.055556,0.661835
combined_400,ICLR,all,2,hubert tokens,6,1,0.055556,0.661835
combined_400,ICLR,all,2,dsine stablenormal,6,1,0.055556,0.661835
combined_400,ICLR,all,2,single rgb,6,2,0.111111,0.661835
combined_400,ICLR,all,2,state-of-the-art methods,6,4,0.222222,0.661835
combined_400,ICLR,all,2,left right,6,3,0.166667,0.661835
combined_400,ICLR,all,2,test set,6,2,0.111111,0.661835
combined_400,ICLR,all,2,geowizard dsine,6,1,0.055556,0.661835
combined_400,ICLR,all,2,highlighted numbers,6,1,0.055556,0.661835
combined_400,ICLR,all,2,numbers indicate,6,1,0.055556,0.661835
combined_400,ICLR,all,2,indicate best,6,1,0.055556,0.661835
combined_400,ICLR,all,2,lotus-g neural,6,1,0.055556,0.661835
combined_400,ICLR,all,2,performance drop,6,4,0.222222,0.661835
combined_400,ICLR,all,2,object detection,6,1,0.055556,0.661835
combined_400,ICLR,all,2,scannet scannet-val,6,1,0.055556,0.661835
combined_400,ICLR,all,2,proof reconstruction,6,1,0.055556,0.661835
combined_400,ICLR,all,2,hammer lean,6,1,0.055556,0.661835
combined_400,ICLR,all,2,dependent type,6,1,0.055556,0.661835
combined_400,ICLR,all,2,type theory,6,1,0.055556,0.661835
combined_400,ICLR,all,2,proof search,6,1,0.055556,0.661835
combined_400,ICLR,all,2,ammer pipeline,6,1,0.055556,0.661835
