scope,statistic,ngram_order,value,object_count,object_share,papers_present,paper_prevalence,conference_equal_paper_prevalence
all,caption_ngram,2,and corresponding,9,0.001667,7,0.028,0.03
all,caption_ngram,2,a visual,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,the math,8,0.001481,5,0.02,0.016667
all,caption_ngram,2,average the,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,conducted on,8,0.001481,8,0.032,0.028333
all,caption_ngram,2,and math,8,0.001481,7,0.028,0.03
all,caption_ngram,2,include the,8,0.001481,5,0.02,0.02
all,caption_ngram,2,distributions of,8,0.001481,7,0.028,0.025
all,caption_ngram,2,by model,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,to find,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,but not,8,0.001481,7,0.028,0.031667
all,caption_ngram,2,with existing,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,improvement over,8,0.001481,6,0.024,0.025
all,caption_ngram,2,we adopt,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,across runs,8,0.001481,7,0.028,0.03
all,caption_ngram,2,with p,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,p p,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,red line,8,0.001481,7,0.028,0.03
all,caption_ngram,2,architecture and,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,features of,8,0.001481,5,0.02,0.02
all,caption_ngram,2,attention heads,8,0.001481,5,0.02,0.02
all,caption_ngram,2,the state,8,0.001481,7,0.028,0.03
all,caption_ngram,2,generalization performance,8,0.001481,6,0.024,0.025
all,caption_ngram,2,at most,8,0.001481,5,0.02,0.02
all,caption_ngram,2,the core,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,to b,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,b in,8,0.001481,7,0.028,0.025
all,caption_ngram,2,indicated by,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,we measure,8,0.001481,7,0.028,0.025
all,caption_ngram,2,a pair,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,of accuracy,8,0.001481,6,0.024,0.025
all,caption_ngram,2,the intermediate,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,the higher,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,model b,8,0.001481,7,0.028,0.025
all,caption_ngram,2,appendix f,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,illustrate the,8,0.001481,6,0.024,0.025
all,caption_ngram,2,to infer,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,benchmarks with,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,is measured,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,generation and,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,the temporal,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,loss curves,8,0.001481,5,0.02,0.02
all,caption_ngram,2,on h,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,on vbench,8,0.001481,5,0.02,0.02
all,caption_ngram,2,different noise,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,did not,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,layers and,8,0.001481,6,0.024,0.025
all,caption_ngram,2,to more,8,0.001481,8,0.032,0.028333
all,caption_ngram,2,is reported,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,prompt used,8,0.001481,5,0.02,0.02
all,caption_ngram,2,vertical dashed,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,baseline models,8,0.001481,6,0.024,0.025
all,caption_ngram,2,only on,8,0.001481,8,0.032,0.036667
all,caption_ngram,2,on k,8,0.001481,7,0.028,0.025
all,caption_ngram,2,the effectiveness,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,other baselines,8,0.001481,6,0.024,0.025
all,caption_ngram,2,showing how,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,the prediction,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,are then,8,0.001481,7,0.028,0.031667
all,caption_ngram,2,d for,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,we consider,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,with confidence,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,and generated,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,images are,8,0.001481,7,0.028,0.03
all,caption_ngram,2,one of,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,confirming that,8,0.001481,7,0.028,0.03
all,caption_ngram,2,on training,8,0.001481,6,0.024,0.025
all,caption_ngram,2,where each,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,architecture of,8,0.001481,8,0.032,0.03
all,caption_ngram,2,training strategies,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,c a,8,0.001481,8,0.032,0.03
all,caption_ngram,2,outputs are,8,0.001481,6,0.024,0.02
all,caption_ngram,2,change in,8,0.001481,6,0.024,0.025
all,caption_ngram,2,performance gains,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,we first,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,settings of,8,0.001481,7,0.028,0.03
all,caption_ngram,2,pipeline of,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,method to,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,methods we,8,0.001481,8,0.032,0.035
all,caption_ngram,2,components of,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,metrics are,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,to large,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,tokens from,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,baseline with,8,0.001481,7,0.028,0.025
all,caption_ngram,2,and generation,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,original and,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,f score,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,figure t-sne,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,on two,8,0.001481,8,0.032,0.028333
all,caption_ngram,2,higher values,8,0.001481,5,0.02,0.02
all,caption_ngram,2,relevant to,8,0.001481,7,0.028,0.025
all,caption_ngram,2,without any,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,table examples,8,0.001481,7,0.028,0.025
all,caption_ngram,2,time step,8,0.001481,5,0.02,0.02
all,caption_ngram,2,and lower,8,0.001481,7,0.028,0.03
all,caption_ngram,2,an effective,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,to make,8,0.001481,8,0.032,0.03
all,caption_ngram,2,the experimental,8,0.001481,5,0.02,0.02
all,caption_ngram,2,gap between,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,improves performance,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,b to,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,structure of,8,0.001481,6,0.024,0.02
all,caption_ngram,2,across both,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,over time,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,the time,8,0.001481,7,0.028,0.03
all,caption_ngram,2,demonstrating the,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,row is,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,the risk,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,size is,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,in green,8,0.001481,5,0.02,0.02
all,caption_ngram,2,failure case,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,and accuracy,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,lower bound,8,0.001481,6,0.024,0.025
all,caption_ngram,2,performance at,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,the pareto,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,the objective,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,impact on,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,table computational,8,0.001481,6,0.024,0.025
all,caption_ngram,2,improvement of,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,top two,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,to x,8,0.001481,5,0.02,0.02
all,caption_ngram,2,training we,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,results under,8,0.001481,5,0.02,0.02
all,caption_ngram,2,on llama,8,0.001481,6,0.024,0.025
all,caption_ngram,2,mnist dataset,8,0.001481,5,0.02,0.02
all,caption_ngram,2,accuracy at,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,through a,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,standard deviations,8,0.001481,8,0.032,0.031667
all,caption_ngram,2,across a,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,with increasing,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,across methods,8,0.001481,7,0.028,0.033333
all,caption_ngram,2,a failure,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,match the,8,0.001481,8,0.032,0.035
all,caption_ngram,2,evaluation metrics,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,each setting,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,three tasks,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,samples are,8,0.001481,6,0.024,0.025
all,caption_ngram,2,table additional,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,model training,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,an llm,8,0.001481,7,0.028,0.03
all,caption_ngram,2,synthetic dataset,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,figure validation,8,0.001481,5,0.02,0.02
all,caption_ngram,2,more details,8,0.001481,8,0.032,0.035
all,caption_ngram,2,content and,8,0.001481,7,0.028,0.025
all,caption_ngram,2,less than,8,0.001481,7,0.028,0.026667
all,caption_ngram,2,suggesting that,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,aggregated over,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,experiment results,8,0.001481,5,0.02,0.02
all,caption_ngram,2,the middle,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,shown for,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,and f,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,reward curves,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,features and,8,0.001481,8,0.032,0.033333
all,caption_ngram,2,per step,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,agent and,8,0.001481,5,0.02,0.02
all,caption_ngram,2,the d,8,0.001481,6,0.024,0.025
all,caption_ngram,2,first and,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,it can,8,0.001481,6,0.024,0.021667
all,caption_ngram,2,a shows,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,table shows,8,0.001481,6,0.024,0.023333
all,caption_ngram,2,all datasets,8,0.001481,8,0.032,0.028333
all,caption_ngram,2,k we,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,the response,8,0.001481,7,0.028,0.028333
all,caption_ngram,2,zoom in,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,plot shows,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,with minimal,8,0.001481,6,0.024,0.028333
all,caption_ngram,2,the forward,8,0.001481,6,0.024,0.026667
all,caption_ngram,2,computed over,8,0.001481,5,0.02,0.023333
all,caption_ngram,2,and grpo,8,0.001481,5,0.02,0.021667
all,caption_ngram,2,wu et,8,0.001481,5,0.02,0.018333
all,caption_ngram,2,be used,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,tend to,7,0.001296,7,0.028,0.03
all,caption_ngram,2,have been,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,of llms,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,scores across,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,color indicates,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,table comparing,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,to facilitate,7,0.001296,7,0.028,0.023333
all,caption_ngram,2,win rate,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,input and,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,the given,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,versus the,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,generate a,7,0.001296,7,0.028,0.023333
all,caption_ngram,2,in c,7,0.001296,5,0.02,0.02
all,caption_ngram,2,of common,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,and target,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,line shows,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,to avoid,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,reasoning task,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,results comparing,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,collected from,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,each subplot,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,accuracy as,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,of c,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,these results,7,0.001296,6,0.024,0.028333
all,caption_ngram,2,a token,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,whether the,7,0.001296,7,0.028,0.025
all,caption_ngram,2,accuracy in,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,a set,7,0.001296,7,0.028,0.025
all,caption_ngram,2,variants of,7,0.001296,7,0.028,0.025
all,caption_ngram,2,for evaluation,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,denotes a,7,0.001296,6,0.024,0.02
all,caption_ngram,2,matches the,7,0.001296,6,0.024,0.025
all,caption_ngram,2,despite being,7,0.001296,7,0.028,0.03
all,caption_ngram,2,and more,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,table zero-shot,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,are presented,7,0.001296,7,0.028,0.025
all,caption_ngram,2,set for,7,0.001296,5,0.02,0.02
all,caption_ngram,2,inference latency,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,is more,7,0.001296,7,0.028,0.03
all,caption_ngram,2,training pipeline,7,0.001296,7,0.028,0.025
all,caption_ngram,2,details in,7,0.001296,7,0.028,0.025
all,caption_ngram,2,b our,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,comparison among,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,the human,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,a sequence,7,0.001296,7,0.028,0.03
all,caption_ngram,2,gpu with,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,zhang et,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,performance comparisons,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,performance under,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,ratio and,7,0.001296,6,0.024,0.025
all,caption_ngram,2,table perplexity,7,0.001296,6,0.024,0.025
all,caption_ngram,2,with k,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,in gray,7,0.001296,5,0.02,0.02
all,caption_ngram,2,via the,7,0.001296,7,0.028,0.031667
all,caption_ngram,2,given by,7,0.001296,5,0.02,0.02
all,caption_ngram,2,a similar,7,0.001296,6,0.024,0.025
all,caption_ngram,2,x-axis and,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,them to,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,much smaller,7,0.001296,5,0.02,0.02
all,caption_ngram,2,table analysis,7,0.001296,7,0.028,0.025
all,caption_ngram,2,to ensure,7,0.001296,6,0.024,0.025
all,caption_ngram,2,best overall,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,across six,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,to reduce,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,reduce the,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,caused by,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,seeds and,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,of how,7,0.001296,6,0.024,0.025
all,caption_ngram,2,a reference,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,serves as,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,model outputs,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,an nvidia,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,performance while,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,contrast our,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,are collected,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,are consistent,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,of reasoning,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,li et,7,0.001296,6,0.024,0.02
all,caption_ngram,2,the inference,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,robustness and,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,x to,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,measured in,7,0.001296,5,0.02,0.02
all,caption_ngram,2,length increases,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,a wide,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,token usage,7,0.001296,5,0.02,0.02
all,caption_ngram,2,task is,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,with all,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,from each,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,with batch,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,the change,7,0.001296,5,0.02,0.023333
all,caption_ngram,2,response is,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,proportional to,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,of i,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,so the,7,0.001296,7,0.028,0.031667
all,caption_ngram,2,three datasets,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,language modeling,7,0.001296,5,0.02,0.02
all,caption_ngram,2,and x,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,predicts the,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,agent s,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,the action,7,0.001296,5,0.02,0.02
all,caption_ngram,2,the planner,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,the rest,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,table overview,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,tasks across,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,across multiple,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,model generates,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,training epochs,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,matrix for,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,along with,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,from two,7,0.001296,7,0.028,0.023333
all,caption_ngram,2,evaluation benchmarks,7,0.001296,6,0.024,0.02
all,caption_ngram,2,sizes m,7,0.001296,5,0.02,0.02
all,caption_ngram,2,for visual,7,0.001296,7,0.028,0.025
all,caption_ngram,2,the general,7,0.001296,6,0.024,0.025
all,caption_ngram,2,the process,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,e the,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,al the,7,0.001296,6,0.024,0.02
all,caption_ngram,2,dataset using,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,along the,7,0.001296,7,0.028,0.025
all,caption_ngram,2,methods across,7,0.001296,6,0.024,0.025
all,caption_ngram,2,and sampling,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,of selected,7,0.001296,6,0.024,0.025
all,caption_ngram,2,and stability,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,generation performance,7,0.001296,5,0.02,0.02
all,caption_ngram,2,exhibit a,7,0.001296,6,0.024,0.025
all,caption_ngram,2,the linear,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,s for,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,data to,7,0.001296,5,0.02,0.016667
all,caption_ngram,2,our main,7,0.001296,5,0.02,0.02
all,caption_ngram,2,a learned,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,presents the,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,open-source models,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,each other,7,0.001296,6,0.024,0.02
all,caption_ngram,2,flow matching,7,0.001296,5,0.02,0.02
all,caption_ngram,2,with low,7,0.001296,5,0.02,0.02
all,caption_ngram,2,stability of,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,the size,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,a high,7,0.001296,5,0.02,0.02
all,caption_ngram,2,a consistent,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,we compute,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,displays the,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,metric is,7,0.001296,6,0.024,0.025
all,caption_ngram,2,subsets of,7,0.001296,6,0.024,0.025
all,caption_ngram,2,more results,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,observe that,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,line represents,7,0.001296,6,0.024,0.025
all,caption_ngram,2,to train,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,column shows,7,0.001296,6,0.024,0.025
all,caption_ngram,2,the cost,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,table pairwise,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,training curves,7,0.001296,7,0.028,0.03
all,caption_ngram,2,and local,7,0.001296,6,0.024,0.021667
all,caption_ngram,2,on d,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,highlighting the,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,structure and,7,0.001296,5,0.02,0.023333
all,caption_ngram,2,step the,7,0.001296,5,0.02,0.02
all,caption_ngram,2,with full,7,0.001296,6,0.024,0.025
all,caption_ngram,2,the semantic,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,b performance,7,0.001296,7,0.028,0.026667
all,caption_ngram,2,a standard,7,0.001296,7,0.028,0.033333
all,caption_ngram,2,sensitivity to,7,0.001296,6,0.024,0.025
all,caption_ngram,2,even when,7,0.001296,7,0.028,0.03
all,caption_ngram,2,reasoning chain,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,a random,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,selection of,7,0.001296,6,0.024,0.023333
all,caption_ngram,2,and ood,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,we run,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,the qwen,7,0.001296,5,0.02,0.02
all,caption_ngram,2,the remaining,7,0.001296,7,0.028,0.03
all,caption_ngram,2,the black,7,0.001296,6,0.024,0.025
all,caption_ngram,2,each panel,7,0.001296,6,0.024,0.028333
all,caption_ngram,2,distance to,7,0.001296,5,0.02,0.02
all,caption_ngram,2,figure comparing,7,0.001296,7,0.028,0.028333
all,caption_ngram,2,over three,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,and e,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,scale the,7,0.001296,6,0.024,0.028333
all,caption_ngram,2,three representative,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,and text,7,0.001296,6,0.024,0.025
all,caption_ngram,2,and blue,7,0.001296,6,0.024,0.028333
all,caption_ngram,2,norm of,7,0.001296,7,0.028,0.033333
all,caption_ngram,2,datasets of,7,0.001296,5,0.02,0.018333
all,caption_ngram,2,see section,7,0.001296,6,0.024,0.026667
all,caption_ngram,2,dotted lines,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,hyperparameters on,7,0.001296,5,0.02,0.025
all,caption_ngram,2,aligned with,7,0.001296,7,0.028,0.03
all,caption_ngram,2,similarity between,7,0.001296,5,0.02,0.021667
all,caption_ngram,2,the hidden,7,0.001296,5,0.02,0.02
all,caption_ngram,2,figure reward,7,0.001296,5,0.02,0.02
all,caption_ngram,2,observe a,6,0.001111,6,0.024,0.026667
all,caption_ngram,2,drop in,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,explained by,6,0.001111,5,0.02,0.02
all,caption_ngram,2,diagram of,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,a sample,6,0.001111,5,0.02,0.02
all,caption_ngram,2,and red,6,0.001111,5,0.02,0.02
all,caption_ngram,2,order of,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,of average,6,0.001111,6,0.024,0.025
all,caption_ngram,2,level of,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,providing a,6,0.001111,6,0.024,0.025
all,caption_ngram,2,used as,6,0.001111,6,0.024,0.023333
all,caption_ngram,2,and backward,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,the judge,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,grouped by,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,steps on,6,0.001111,6,0.024,0.023333
all,caption_ngram,2,a value,6,0.001111,5,0.02,0.02
all,caption_ngram,2,a target,6,0.001111,6,0.024,0.025
all,caption_ngram,2,a few,6,0.001111,6,0.024,0.025
all,caption_ngram,2,to solve,6,0.001111,5,0.02,0.02
all,caption_ngram,2,can generate,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,trajectories for,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,task and,6,0.001111,6,0.024,0.02
all,caption_ngram,2,task we,6,0.001111,6,0.024,0.023333
all,caption_ngram,2,when training,6,0.001111,6,0.024,0.023333
all,caption_ngram,2,to perform,6,0.001111,6,0.024,0.025
all,caption_ngram,2,each plot,6,0.001111,5,0.02,0.02
all,caption_ngram,2,different input,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,generation with,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,settings for,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,between two,6,0.001111,5,0.02,0.016667
all,caption_ngram,2,of tasks,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,are included,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,appendix g,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,to show,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,only in,6,0.001111,6,0.024,0.026667
all,caption_ngram,2,the respective,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,domain and,6,0.001111,5,0.02,0.016667
all,caption_ngram,2,their respective,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,prompt and,6,0.001111,5,0.02,0.02
all,caption_ngram,2,is given,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,given in,6,0.001111,5,0.02,0.02
all,caption_ngram,2,data the,6,0.001111,6,0.024,0.021667
all,caption_ngram,2,examples in,6,0.001111,5,0.02,0.02
all,caption_ngram,2,grid search,6,0.001111,6,0.024,0.025
all,caption_ngram,2,in sec,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,visual comparison,6,0.001111,5,0.02,0.02
all,caption_ngram,2,influence of,6,0.001111,5,0.02,0.02
all,caption_ngram,2,efficiency and,6,0.001111,6,0.024,0.025
all,caption_ngram,2,training settings,6,0.001111,5,0.02,0.02
all,caption_ngram,2,i t,6,0.001111,5,0.02,0.023333
all,caption_ngram,2,entropy and,6,0.001111,5,0.02,0.016667
all,caption_ngram,2,of layers,6,0.001111,5,0.02,0.02
all,caption_ngram,2,with better,6,0.001111,5,0.02,0.018333
all,caption_ngram,2,defined in,6,0.001111,6,0.024,0.026667
all,caption_ngram,2,existing methods,6,0.001111,5,0.02,0.02
all,caption_ngram,2,are calculated,6,0.001111,6,0.024,0.025
all,caption_ngram,2,and can,6,0.001111,6,0.024,0.02
all,caption_ngram,2,and k,6,0.001111,6,0.024,0.025
all,caption_ngram,2,experiments are,6,0.001111,6,0.024,0.02
all,caption_ngram,2,per column,6,0.001111,5,0.02,0.021667
all,caption_ngram,2,which can,6,0.001111,5,0.02,0.023333
all,caption_ngram,2,s the,6,0.001111,6,0.024,0.025
all,caption_ngram,2,of pre-training,6,0.001111,6,0.024,0.02
all,caption_ngram,2,of hyperparameters,6,0.001111,6,0.024,0.025
all,caption_ngram,2,al with,6,0.001111,5,0.02,0.02
all,caption_ngram,2,of its,6,0.001111,5,0.02,0.018333
