scope,dimension,value,objects,object_count,object_share,papers,papers_present,paper_prevalence,paper_normalized_object_share,conference_equal_paper_normalized_share
figure,types_auto,map,3048,41,0.013451,250,27,0.108,0.01811,0.016757
figure,types_auto,matrix,3048,87,0.028543,250,28,0.112,0.020078,0.021168
figure,types_auto,network,3048,49,0.016076,250,32,0.128,0.022603,0.022029
figure,types_auto,other,3048,1351,0.443241,250,218,0.872,0.387614,0.389419
figure,types_auto,pareto,3048,49,0.016076,250,14,0.056,0.010772,0.012295
figure,types_auto,pipeline,3048,233,0.076444,250,143,0.572,0.099548,0.096681
figure,types_auto,qualitative_grid,3048,763,0.250328,250,186,0.744,0.251959,0.248397
figure,types_auto,scatter,3048,58,0.019029,250,40,0.16,0.023313,0.022431
figure,types_auto,screenshot,3048,19,0.006234,250,10,0.04,0.008031,0.008163
figure,types_auto,tree,3048,27,0.008858,250,18,0.072,0.011878,0.012248
figure,caption_headline_bold,0,3048,2544,0.834646,250,238,0.952,0.814425,0.820953
figure,caption_headline_bold,1,3048,435,0.142717,250,85,0.34,0.148021,0.137132
figure,caption_has_setup,0,3048,1692,0.555118,250,238,0.952,0.515646,0.50921
figure,caption_has_setup,1,3048,1287,0.422244,250,232,0.928,0.446801,0.448876
figure,caption_has_encoding_key,0,3048,2322,0.761811,250,241,0.964,0.722386,0.719394
figure,caption_has_encoding_key,1,3048,657,0.215551,250,196,0.784,0.240061,0.238691
figure,caption_has_main_finding,0,3048,1922,0.630577,250,239,0.956,0.596847,0.590143
figure,caption_has_main_finding,1,3048,1057,0.346785,250,222,0.888,0.3656,0.367942
figure,caption_has_uncertainty_definition,0,3048,2749,0.901903,250,246,0.984,0.890369,0.882668
figure,caption_has_uncertainty_definition,1,3048,230,0.075459,250,89,0.356,0.072078,0.075418
figure,caption_has_appendix_pointer,0,3048,2912,0.955381,250,246,0.984,0.941366,0.936522
figure,caption_has_appendix_pointer,1,3048,67,0.021982,250,49,0.196,0.02108,0.021563
figure,color_mode_auto,color,3048,2701,0.886155,250,244,0.976,0.878234,0.878663
figure,color_mode_auto,grayscale,3048,278,0.091207,250,103,0.412,0.084213,0.079423
table,width,double_column,2309,967,0.418796,250,181,0.724,0.40193,0.357405
